DEBUG:root:('Index: 0', 'SKU: GH-BBM-559', 'image_links: http://www.johnsonwindowfilms.com/images/tints/daylight-natural/dn-35-lg.jpg', 'attachment_links: https://i.imgur.com/5lKC6DM.jpg')
DEBUG:root:('Index: 33', 'SKU: GH-BMM-1022', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 34', 'SKU: GH-BMM-1023', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 35', 'SKU: GH-BMM-1024', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 36', 'SKU: GH-BMM-1025', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 37', 'SKU: GH-BMM-1026', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 38', 'SKU: GH-BMM-1027', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 39', 'SKU: GH-BMM-1028', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 40', 'SKU: GH-BMM-1029', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_9-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 41', 'SKU: GH-BMM-103', 'image_links: https://i.imgur.com/GnaY9fI.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 42', 'SKU: GH-BMM-1030', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_10-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 43', 'SKU: GH-BMM-1031', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_10-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 44', 'SKU: GH-BMM-1032', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_10-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 45', 'SKU: GH-BMM-1033', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_10-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 46', 'SKU: GH-BMM-1034', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_10-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 47', 'SKU: GH-BMM-1035', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_10-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 48', 'SKU: GH-BMM-1036', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_11-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 49', 'SKU: GH-BMM-1037', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_11-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 50', 'SKU: GH-BMM-1038', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_11-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 51', 'SKU: GH-BMM-1039', 'image_links: https://aplaco.com.sa/wp-content/uploads/2020/10/ASTM_PVC_40_11-1.jpg', 'attachment_links: nan')
DEBUG:root:('Index: 52', 'SKU: GH-BMM-104', 'image_links: https://i.imgur.com/m4UBpAd.jpg', 'attachment_links: nan')
